Country,Year,Launches
USA,1957,1
USSR,1957,2
USSR,1958,5
USA,1958,23
USA,1959,16
USSR,1959,4
USA,1960,30
USSR,1960,9
USSR,1961,9
USA,1961,43
USSR,1962,22
USA,1962,60
USA,1963,17
USSR,1963,24
USA,1964,24
USSR,1964,36
USA,1965,33
USSR,1965,53
USSR,1966,51
USA,1966,47
USSR,1967,75
USA,1967,26
USA,1968,22
USSR,1968,80
USA,1969,17
USSR,1969,83
USA,1970,11
USSR,1970,88
USA,1971,16
USSR,1971,93
USA,1972,17
USSR,1972,79
USA,1973,17
USSR,1973,84
USA,1974,10
USSR,1974,83
USA,1975,15
USSR,1975,89
USSR,1976,95
USA,1976,13
USSR,1977,97
USA,1977,14
USA,1978,21
USSR,1978,71
USSR,1979,36
USA,1979,9
USSR,1980,40
USA,1980,11
USA,1981,13
USSR,1981,51
USA,1982,11
USSR,1982,53
USSR,1983,46
USA,1983,13
USSR,1984,42
USA,1984,17
USA,1985,16
USSR,1985,51
USA,1986,6
USSR,1986,49
USSR,1987,42
USA,1987,6
USA,1988,7
USSR,1988,36
USA,1989,16
USSR,1989,26
USA,1990,26
USSR,1990,37
USA,1991,18
USSR,1991,29
USSR,1992,23
USA,1992,27
USSR,1993,27
USA,1993,24
USSR,1994,21
USA,1994,26
USA,1995,30
USSR,1995,14
USSR,1996,10
USA,1996,33
USSR,1997,10
USA,1997,36
USA,1998,36
USSR,1998,10
USSR,1999,7
USA,1999,31
USA,2000,28
USSR,2000,9
USSR,2001,7
USA,2001,22
USSR,2002,9
USA,2002,17
USA,2003,23
USSR,2003,9
USSR,2004,8
USA,2004,16
USA,2005,12
USSR,2005,7
USSR,2006,7
USA,2006,18
USSR,2007,8
USA,2007,19
USSR,2008,8
USA,2008,15
USA,2009,25
USSR,2009,9
USA,2010,15
USSR,2010,10
USSR,2011,6
USA,2011,18
USSR,2012,1
USA,2012,13
USSR,2013,10
USA,2013,19
USSR,2014,7
USA,2014,23
USA,2015,21
USSR,2015,5
USA,2016,27
USSR,2016,17
USSR,2017,19
USA,2017,30
USA,2018,34
USSR,2018,17
USSR,2019,22
USA,2019,27
USA,2020,21
USSR,2020,9
